parameter,numel,grad_l2,grad_mean_abs,grad_max_abs,backward_delta_max_abs,step_delta_l2,step_delta_max_abs,changed_elements
blocks.3.attention.out_proj.bias,128,0.26848044991493225,0.0190445426851511,0.05964355915784836,0.0,0.003394103143364191,0.000299999926937744,128
blocks.3.norm2.weight,128,0.012598819099366665,0.0008092016796581447,0.003757806960493326,0.0,0.0033941224683076143,0.0003000497817993164,128
blocks.3.norm2.bias,128,0.010966012254357338,0.0007692648796364665,0.003126621711999178,0.0,0.003392821876332164,0.0002999990829266608,128
blocks.3.mlp.0.weight,65536,0.6574844121932983,0.0017981237033382058,0.024945605546236038,0.0,0.0767958015203476,0.0003000013530254364,65536
blocks.3.mlp.0.bias,512,0.05337827280163765,0.0018340571550652385,0.00934424065053463,0.0,0.006788070313632488,0.0002999996650032699,512
blocks.3.mlp.3.weight,65536,0.6459304690361023,0.0017819192726165056,0.023045919835567474,0.0,0.07679605484008789,0.0003000013530254364,65536
blocks.3.mlp.3.bias,128,0.24274073541164398,0.01708076149225235,0.055744655430316925,0.0,0.0033941043075174093,0.0002999999560415745,128
norm.weight,128,0.021903865039348602,0.0014680250314995646,0.005620528012514114,0.0,0.0033942172303795815,0.0003000497817993164,128
norm.bias,128,0.021653806790709496,0.0015096110291779041,0.004815991502255201,0.0,0.0033940195571631193,0.0002999994030687958,128
head.weight,1280,1.415955901145935,0.0270310640335083,0.25429797172546387,0.0,0.010733101516962051,0.0003000013530254364,1280
head.bias,10,0.10439570993185043,0.024812016636133194,0.07391500473022461,0.0,0.0009486587368883193,0.00029999998514540493,10
